site,species,subject_site,age,cup_distance,task_experience,board_size,test_situation,session,block,trial,delay,hiding_location,pick,correct,researcher,life_expectancy,norm_age
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,1,1,2,short,3,2,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,1,1,3,short,1,1,1,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,1,2,4,medium,2,1,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,1,2,5,medium,1,1,1,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,1,2,6,medium,2,2,1,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,1,3,7,long,1,2,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,1,3,8,long,3,2,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,1,3,9,long,1,1,1,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,2,1,10,short,3,2,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,2,1,11,short,3,2,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,2,1,12,short,2,2,1,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,2,2,13,long,1,2,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,2,2,14,long,2,2,1,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,2,2,15,long,3,1,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,2,3,16,medium,1,3,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,2,3,17,medium,1,3,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,2,3,18,medium,3,3,1,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,3,1,19,medium,3,3,1,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,3,1,20,medium,2,1,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,3,1,21,medium,2,1,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,3,2,22,short,2,1,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,3,2,23,short,3,2,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,3,2,24,short,1,3,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,3,3,25,long,2,3,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,3,3,26,long,2,2,1,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,3,3,27,long,1,3,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,4,1,28,long,1,3,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,4,1,29,long,3,1,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,4,1,30,long,1,3,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,4,2,31,short,3,3,1,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,4,2,32,short,2,2,1,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,4,2,33,short,1,3,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,4,3,34,medium,3,2,0,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,4,3,35,medium,2,2,1,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,bomby_dpz,20,10,yes,60,single,4,3,36,medium,3,3,1,julia,39,1.0696652004443414
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,1,1,1,long,1,2,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,1,1,2,long,2,2,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,1,1,3,long,3,2,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,1,2,4,medium,3,3,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,1,2,5,medium,1,2,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,1,2,6,medium,1,1,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,1,3,7,short,2,2,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,1,3,8,short,2,2,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,1,3,9,short,3,3,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,2,1,10,short,1,1,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,2,1,11,short,2,2,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,2,1,12,short,3,3,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,2,2,13,long,1,2,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,2,2,14,long,1,2,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,2,2,15,long,2,1,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,2,3,16,medium,2,3,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,giulia_dpz,18.2,10,yes,60,single,2,3,17,medium,1,1,1,julia,39,0.8151433347148273
